"long","lat","group","id"
6.36958,19.92964,"Algeria.1","Algeria"
6.28932,19.85824,"Algeria.1","Algeria"
6.23021,19.80477,"Algeria.1","Algeria"
6.19798,19.77471,"Algeria.1","Algeria"
6.12035,19.70675,"Algeria.1","Algeria"
6.03083,19.62898,"Algeria.1","Algeria"
5.94387,19.55039,"Algeria.1","Algeria"
5.88169,19.49485,"Algeria.1","Algeria"
5.87899,19.49247,"Algeria.1","Algeria"
5.81708,19.43771,"Algeria.1","Algeria"
5.67584,19.41084,"Algeria.1","Algeria"
5.55028,19.38743,"Algeria.1","Algeria"
5.51077,19.37987,"Algeria.1","Algeria"
5.47702,19.3735,"Algeria.1","Algeria"
5.39102,19.35753,"Algeria.1","Algeria"
5.28858,19.33833,"Algeria.1","Algeria"
5.18246,19.31904,"Algeria.1","Algeria"
5.09899,19.30255,"Algeria.1","Algeria"
5,19.28405,"Algeria.1","Algeria"
4.96497,19.2775,"Algeria.1","Algeria"
4.82482,19.2523,"Algeria.1","Algeria"
4.72498,19.23317,"Algeria.1","Algeria"
4.67281,19.22298,"Algeria.1","Algeria"
4.56234,19.20133,"Algeria.1","Algeria"
4.4478,19.1784,"Algeria.1","Algeria"
4.33615,19.15659,"Algeria.1","Algeria"
4.24289,19.13672,"Algeria.1","Algeria"
4.23657,19.13583,"Algeria.1","Algeria"
4.21963,19.13209,"Algeria.1","Algeria"
4.18458,19.12624,"Algeria.1","Algeria"
4.13406,19.11556,"Algeria.1","Algeria"
4.10161,19.10945,"Algeria.1","Algeria"
4.05741,19.10046,"Algeria.1","Algeria"
4.02009,19.09345,"Algeria.1","Algeria"
3.9802,19.08559,"Algeria.1","Algeria"
3.95265,19.08005,"Algeria.1","Algeria"
3.91936,19.07335,"Algeria.1","Algeria"
3.87402,19.06457,"Algeria.1","Algeria"
3.81435,19.05286,"Algeria.1","Algeria"
3.77389,19.04522,"Algeria.1","Algeria"
3.71938,19.03518,"Algeria.1","Algeria"
3.69356,19.031,"Algeria.1","Algeria"
3.6712,19.02576,"Algeria.1","Algeria"
3.63879,19.01957,"Algeria.1","Algeria"
3.58546,19.00896,"Algeria.1","Algeria"
3.54015,19.00037,"Algeria.1","Algeria"
3.49285,18.99092,"Algeria.1","Algeria"
3.46991,18.98675,"Algeria.1","Algeria"
3.44183,18.98085,"Algeria.1","Algeria"
3.41344,18.97577,"Algeria.1","Algeria"
3.38507,18.97041,"Algeria.1","Algeria"
3.35469,18.96446,"Algeria.1","Algeria"
3.34295,18.96127,"Algeria.1","Algeria"
3.33377,18.96003,"Algeria.1","Algeria"
3.32884,18.96241,"Algeria.1","Algeria"
3.32184,18.96832,"Algeria.1","Algeria"
3.3166,18.97206,"Algeria.1","Algeria"
3.30849,18.97521,"Algeria.1","Algeria"
3.29484,18.98319,"Algeria.1","Algeria"
3.28578,18.99098,"Algeria.1","Algeria"
3.27847,18.99797,"Algeria.1","Algeria"
3.27552,19.0023,"Algeria.1","Algeria"
3.27279,19.01018,"Algeria.1","Algeria"
3.27037,19.0167,"Algeria.1","Algeria"
3.26483,19.02072,"Algeria.1","Algeria"
3.25613,19.02495,"Algeria.1","Algeria"
3.24592,19.03271,"Algeria.1","Algeria"
3.23746,19.03914,"Algeria.1","Algeria"
3.2252,19.04933,"Algeria.1","Algeria"
3.21237,19.05869,"Algeria.1","Algeria"
3.20452,19.06293,"Algeria.1","Algeria"
3.19178,19.06737,"Algeria.1","Algeria"
3.18419,19.07353,"Algeria.1","Algeria"
3.16842,19.08612,"Algeria.1","Algeria"
3.16347,19.08904,"Algeria.1","Algeria"
3.15679,19.09248,"Algeria.1","Algeria"
3.12732,19.11386,"Algeria.1","Algeria"
3.12117,19.1195,"Algeria.1","Algeria"
3.11935,19.12466,"Algeria.1","Algeria"
3.11914,19.12594,"Algeria.1","Algeria"
